1,Klaus Iohannis,PNL,https://ro.wikipedia.org/wiki/Klaus_Iohannis
3,Traian Băsescu,Partidul Democrat,https://ro.wikipedia.org/wiki/Traian_Băsescu
4,Adrian Năstase,Partidul Social Democrat,https://ro.wikipedia.org/wiki/Adrian_Năstase
5,Corneliu Vadim Tudor,Partidul România Mare,https://ro.wikipedia.org/wiki/Corneliu_Vadim_Tudor
6,Marko Béla,Uniunea Democrată Maghiară din România,https://ro.wikipedia.org/wiki/Marko_Béla
7,Gheorghe Ciuhandu,Partidul Național Țărănesc Creștin Democrat,https://ro.wikipedia.org/wiki/Gheorghe_Ciuhandu
8,Gigi Becali,Partidul Noua Generație,https://ro.wikipedia.org/wiki/Gigi_Becali
9,Mircea Geoană,Partidul Social Democrat,https://ro.wikipedia.org/wiki/Mircea_Geoană
10,Crin Antonescu,Partidul Național Liberal,https://ro.wikipedia.org/wiki/Crin_Antonescu
11,Sorin Oprescu,Independent,https://ro.wikipedia.org/wiki/Sorin_Oprescu
12,Hunor Kelemen,Uniunea Democrată Maghiară din România,https://ro.wikipedia.org/wiki/Hunor_Kelemen
13,Remus Cernea,Partidul Verde,https://ro.wikipedia.org/wiki/Remus_Cernea
14,Constantin Rotaru,Partidul Alianța Socialistă,https://ro.wikipedia.org/wiki/Constantin_Rotaru
15,Victor Ponta,Partidul Social Democrat,https://ro.wikipedia.org/wiki/Victor_Ponta
17,Elena Udrea,Partidul Mișcarea Populară,https://ro.wikipedia.org/wiki/Elena_Udrea
18,Monica Macovei,Independent,https://ro.wikipedia.org/wiki/Monica_Macovei
19,Dan Diaconescu,Partidul Poporului - Dan Diaconescu,https://ro.wikipedia.org/wiki/Dan_Diaconescu
20,Teodor Meleșcanu,Independent,https://ro.wikipedia.org/wiki/Teodor_Meleșcanu
21,Călin Popescu-Tăriceanu,Alianța Liberalilor și Democraților,https://ro.wikipedia.org/wiki/Călin_Popescu-Tăriceanu
22,Viorica Dăncilă,Partidul Social Democrat,https://ro.wikipedia.org/wiki/Viorica_Dăncilă
23,Dan Barna,Uniunea Salvați România,https://ro.wikipedia.org/wiki/Dan_Barna
24,Theodor Paleologu,Partidul Mișcarea Populară,https://ro.wikipedia.org/wiki/Theodor_Paleologu
25,Mircea Diaconu,Independent (susținut de ALDE și PRO România),https://ro.wikipedia.org/wiki/Mircea_Diaconu
26,Petre Roman,FD,https://ro.wikipedia.org/wiki/Petre_Roman
27,Gheorghe Dinu,Independent,https://www.cdep.ro/pls/parlam/structura2015.mp?idm=86&cam=2&leg=2000
28,Marian Petre Miluț,AP,https://ro.wikipedia.org/wiki/Marian_Milu%C8%9B
29,Ovidiu Tudorici,URR,https://ro.wikipedia.org/wiki/Ovidiu_Tudorici
30,Aurel Rădulescu,APCD,https://ro.wikipedia.org/wiki/Aurel_R%C4%83dulescu
31,Alexandru Raj Tunaru,PTD,https://ro.wikipedia.org/wiki/Alexandru_Raj_Tunaru
32,Ovidiu-Cristian Iane,Partidul Verde Ecologist,https://ro.wikipedia.org/wiki/Ovidiu-Cristian_Iane
33,Eduard Manole,Independent,https://ro.wikipedia.org/wiki/Eduard_Manole
34,Constantin-Ninel Potîrcă,Independent,https://ro.wikipedia.org/wiki/Constantin-Ninel_Pot%C3%AErc%C4%83
35,Constantin Rotaru,Partidul Alianța Socialistă,https://ro.wikipedia.org/wiki/Constantin_Rotaru
36,Zsolt Szilágyi,Partidul Popular Maghiar din Transilvania ,https://ro.wikipedia.org/wiki/Zsolt_Szil%C3%A1gyi
37,Gheorghe Funar,Independent,https://ro.wikipedia.org/wiki/Gheorghe_Funar
38,William Brînză,Partidul Ecologist Român (PER),https://ro.wikipedia.org/wiki/William_Br%C3%AEnz%C4%83
39,Viorel Cataramă,Dreapta Liberala,https://ro.wikipedia.org/wiki/Viorel_Cataram%C4%83
40,Ramona Bruynseels,Partidul Puterii Umaniste,https://ioanaramona.ro/
41,Cătălin Ivan ,Partidul Alternativă pentru Demnitate Națională,https://ro.wikipedia.org/wiki/C%C4%83t%C4%83lin-Sorin_Ivan
42,Ninel Peia,Partidul Neamul Românesc,https://ro.wikipedia.org/wiki/Ninel_Peia
43,Alexandru Cumpănașu ,Independent,https://ro.wikipedia.org/wiki/Alexandru_Cump%C4%83na%C8%99u
44,Sebastian Popescu,Partidul Nouă Românie,https://stirileprotv.ro/stiri/alegeri-prezidentiale-2019/sebastian-popescu-cel-mai-tanar-candidat-la-prezidentiale-din-istorie.html
45,Banu John-Ion,Partidul Națiunea Română,https://ro.wikipedia.org/wiki/John_Ion_Banu
46,Bogdan Stanoevici,Independent,https://ro.wikipedia.org/wiki/Bogdan_Stanoevici
