Name,Party,Bio
Traian Băsescu,Partidul Democrat,https://ro.wikipedia.org/wiki/Traian_Băsescu
Adrian Năstase,Partidul Social Democrat,https://ro.wikipedia.org/wiki/Adrian_Năstase
Corneliu Vadim Tudor,Partidul România Mare,https://ro.wikipedia.org/wiki/Corneliu_Vadim_Tudor
Marko Béla,Uniunea Democrată Maghiară din România,https://ro.wikipedia.org/wiki/Marko_Béla
Gheorghe Ciuhandu,Partidul Național Țărănesc Creștin Democrat,https://ro.wikipedia.org/wiki/Gheorghe_Ciuhandu
Gigi Becali,Partidul Noua Generație,https://ro.wikipedia.org/wiki/Gigi_Becali
Mircea Geoană,Partidul Social Democrat,https://ro.wikipedia.org/wiki/Mircea_Geoană
Crin Antonescu,Partidul Național Liberal,https://ro.wikipedia.org/wiki/Crin_Antonescu
Sorin Oprescu,Independent,https://ro.wikipedia.org/wiki/Sorin_Oprescu
Hunor Kelemen,Uniunea Democrată Maghiară din România,https://ro.wikipedia.org/wiki/Hunor_Kelemen
Remus Cernea,Partidul Verde,https://ro.wikipedia.org/wiki/Remus_Cernea
Constantin Rotaru,Partidul Alianța Socialistă,https://ro.wikipedia.org/wiki/Constantin_Rotaru
Victor Ponta,Partidul Social Democrat,https://ro.wikipedia.org/wiki/Victor_Ponta
Klaus Iohannis,Partidul Național Liberal,https://ro.wikipedia.org/wiki/Klaus_Iohannis
Elena Udrea,Partidul Mișcarea Populară,https://ro.wikipedia.org/wiki/Elena_Udrea
Monica Macovei,Independent,https://ro.wikipedia.org/wiki/Monica_Macovei
Dan Diaconescu,Partidul Poporului - Dan Diaconescu,https://ro.wikipedia.org/wiki/Dan_Diaconescu
Teodor Meleșcanu,Independent,https://ro.wikipedia.org/wiki/Teodor_Meleșcanu
Călin Popescu-Tăriceanu,Alianța Liberalilor și Democraților,https://ro.wikipedia.org/wiki/Călin_Popescu-Tăriceanu
Viorica Dăncilă,Partidul Social Democrat,https://ro.wikipedia.org/wiki/Viorica_Dăncilă
Dan Barna,Uniunea Salvați România,https://ro.wikipedia.org/wiki/Dan_Barna
Theodor Paleologu,Partidul Mișcarea Populară,https://ro.wikipedia.org/wiki/Theodor_Paleologu
Mircea Diaconu,Independent (susținut de ALDE și PRO România),https://ro.wikipedia.org/wiki/Mircea_Diaconu
